SeedPlayer,SeedRoom,UseCountFire,UseCountBeam,UseCountWave,HitCountFire,HitCountBeam,HitCountWave,HitsTaken,EnemyCountFire,EnemyCountBeam,EnemyCountWave,ObstacleCountFire,ObstacleCountBeam,ObstacleCountWave,EnemyAttackCount,GroundTruth,Classification
0,0,0,21,0,0,7,0,0,1,0,0,1,2,0,0,1,1
0,0,0,59,0,0,14,0,0,1,0,0,3,0,0,0,1,1
0,0,20,65,0,16,14,0,2,0,2,0,0,4,0,0,1,1
0,0,31,107,0,17,28,0,3,2,0,0,3,1,0,0,1,1
0,0,31,131,0,17,42,0,3,2,0,0,3,1,0,0,1,1
0,0,49,184,0,22,56,0,3,0,1,1,1,1,2,0,1,1
0,0,73,184,0,36,56,0,4,0,2,0,2,1,1,0,1,1
0,0,78,205,0,40,63,0,4,1,1,0,0,1,3,0,1,1
0,0,105,221,0,52,69,0,5,1,2,0,3,2,0,0,1,1
0,0,140,268,0,63,82,0,5,2,1,0,2,3,0,0,1,1
0,0,158,295,0,68,89,0,6,1,2,0,3,2,0,0,1,1
0,0,183,314,0,76,89,0,7,0,3,0,5,1,0,0,1,1
0,0,225,442,0,91,97,0,8,2,1,0,3,3,0,0,1,1
0,0,253,468,0,98,111,0,8,2,1,0,3,3,0,0,1,1
0,0,266,512,0,100,125,0,8,2,1,0,3,3,0,0,1,1
0,0,342,529,0,112,132,0,8,2,1,0,3,3,0,0,1,1
0,0,363,574,0,121,143,0,9,2,1,0,3,3,0,0,1,1
0,0,374,608,0,127,157,0,9,2,1,0,3,3,0,0,1,1
0,0,414,608,0,139,157,0,9,0,3,0,5,1,0,0,1,1
0,0,414,608,75,139,157,41,9,3,1,0,4,4,0,0,1,1
0,0,414,632,136,139,163,83,10,1,3,0,6,2,0,0,1,1
0,0,414,632,188,139,163,123,10,3,1,0,4,4,0,0,1,1
0,0,414,632,241,139,163,155,11,2,2,0,5,3,0,0,0,1
0,0,414,632,298,139,163,201,11,1,3,0,4,3,1,0,0,1
0,0,414,758,316,139,191,214,14,0,0,4,3,2,3,0,1,1
0,0,414,876,349,139,195,240,14,1,1,2,2,2,4,0,1,1
0,0,414,945,427,139,196,289,15,1,0,3,0,3,5,0,1,1
0,0,414,945,472,139,196,311,15,1,0,3,0,1,7,0,1,1
0,0,414,1020,515,139,196,340,17,0,2,2,3,0,5,0,1,1
0,0,414,1123,560,139,221,368,19,1,1,2,1,1,6,0,1,1
0,0,414,1123,587,139,221,385,19,0,0,4,2,0,6,0,1,1
0,0,414,1123,623,139,221,409,19,0,1,3,1,1,6,0,1,1
0,0,414,1123,675,139,221,446,20,1,2,1,0,1,7,0,1,1
0,0,414,1134,727,139,222,481,21,1,1,2,2,0,6,0,1,1
0,0,414,1155,758,139,222,508,21,0,2,3,2,0,8,0,1,1
0,0,414,1155,821,139,222,551,22,2,2,1,0,1,9,0,1,1
0,0,414,1155,862,139,222,581,22,1,1,3,1,2,7,0,1,1
0,0,414,1165,897,139,224,603,23,1,0,4,2,2,6,0,1,1
0,0,414,1188,963,139,228,646,23,1,2,2,2,0,8,0,1,1
0,0,414,1188,1017,139,228,684,23,1,2,2,2,0,8,0,1,1
0,0,426,1188,1055,140,228,709,23,3,0,2,0,2,8,0,0,1
0,0,426,1188,1077,140,228,726,23,0,0,5,0,1,9,0,1,1
0,0,426,1188,1107,140,228,748,23,0,0,5,1,1,8,0,1,1
0,0,426,1188,1139,140,228,767,25,0,0,5,0,1,9,0,1,1
0,0,450,1188,1155,154,228,779,25,0,3,2,1,0,9,0,1,1
0,0,515,1188,1214,166,228,822,27,1,2,2,1,0,9,0,1,1
0,0,515,1188,1254,166,228,851,27,0,1,4,2,1,7,0,1,1
0,0,515,1188,1299,166,228,888,28,0,2,3,1,0,9,0,1,1
0,0,531,1188,1358,169,228,921,28,1,1,3,1,1,8,0,1,1
0,0,557,1188,1392,173,228,946,29,0,1,4,1,0,9,0,1,1
0,0,629,1188,1452,198,228,982,31,1,1,3,1,1,8,0,1,1
0,0,629,1188,1513,198,228,1024,32,2,0,3,0,1,9,0,1,1
0,0,629,1188,1555,198,228,1057,33,0,1,4,1,0,9,0,1,1
0,0,677,1188,1584,211,228,1079,33,2,1,2,0,1,9,0,1,1
0,0,682,1188,1642,211,228,1117,33,2,0,3,0,1,9,0,1,1
0,0,682,1188,1675,211,228,1141,34,0,1,4,1,0,9,0,0,1
0,0,41,6,0,4,0,0,0,0,1,0,0,3,0,0,1,1
0,0,48,31,0,5,6,0,0,1,0,0,1,2,0,0,1,1
0,0,54,34,34,5,6,25,0,1,1,0,1,3,0,0,1,1
0,0,54,34,66,5,6,48,1,0,2,0,2,2,0,0,1,1
0,0,54,84,105,5,6,68,3,0,1,1,0,0,4,0,1,1
0,0,54,108,138,5,20,87,8,0,0,2,0,1,3,0,1,1
0,0,54,116,155,5,22,101,9,0,0,2,0,1,3,0,1,1
0,0,54,116,169,5,22,111,9,0,0,2,1,0,3,0,1,1
0,0,54,116,192,5,22,131,9,1,0,1,0,0,4,0,1,1
0,0,54,123,212,5,24,148,10,0,0,3,0,0,5,0,1,1
0,0,54,123,229,5,24,161,10,0,0,3,0,0,5,0,1,1
0,0,54,123,243,5,24,173,10,0,0,3,0,0,5,0,1,1
0,0,54,138,267,5,26,192,13,0,0,3,1,1,4,0,0,1
0,0,54,138,291,5,26,212,13,0,1,2,1,0,5,0,0,1
0,0,54,138,330,5,26,248,13,0,3,0,1,1,4,0,0,1
0,0,54,155,355,5,31,269,15,0,1,2,1,0,5,0,0,1
0,0,73,157,388,9,31,294,15,1,1,1,0,0,6,0,0,1
0,0,95,249,388,22,70,294,20,1,1,1,0,0,6,0,0,1
0,0,135,470,388,41,147,294,29,0,1,2,1,0,5,0,0,1
0,0,135,477,419,41,147,317,31,0,1,2,0,1,5,0,0,1
0,0,135,477,446,41,147,340,32,0,1,2,1,0,5,0,0,1
0,0,135,479,494,41,147,382,34,0,2,1,1,0,5,0,0,1
0,0,135,479,523,41,147,405,35,0,1,2,1,1,4,0,0,1
0,0,135,479,549,41,147,427,35,1,1,1,0,1,5,0,0,1
0,0,135,479,590,41,147,458,36,1,1,1,0,0,6,0,0,1
0,0,135,485,619,41,147,479,36,1,0,2,0,1,5,0,0,1
0,0,135,485,644,41,147,498,37,0,0,3,1,1,4,0,0,1
0,0,135,485,668,41,147,513,37,0,0,3,0,2,4,0,0,1
0,0,135,485,686,41,147,528,37,0,0,3,0,2,4,0,0,1
0,0,135,503,717,41,152,555,38,0,1,3,1,0,7,0,0,1
0,0,135,503,756,41,152,582,39,1,0,3,1,1,6,0,1,1
0,0,135,503,777,41,152,600,40,0,0,4,1,1,6,0,1,1
0,0,135,503,790,41,152,611,40,0,0,4,1,2,5,0,0,1
0,0,135,503,812,41,152,629,40,0,1,3,0,1,7,0,1,1
0,0,41,6,0,4,0,0,0,0,1,0,0,3,0,0,1,1
0,0,48,31,0,5,6,0,0,1,0,0,1,2,0,0,1,1
0,0,54,34,34,5,6,25,0,1,1,0,1,3,0,0,1,1
0,0,54,34,66,5,6,48,1,0,2,0,2,2,0,0,1,1
0,0,54,84,105,5,6,68,3,0,1,1,0,0,4,0,1,1
0,0,54,108,138,5,20,87,8,0,0,2,0,1,3,0,1,1
0,0,54,116,155,5,22,101,9,0,0,2,0,1,3,0,1,1
0,0,54,116,169,5,22,111,9,0,0,2,1,0,3,0,1,1
0,0,54,116,192,5,22,131,9,1,0,1,0,0,4,0,1,1
0,0,54,123,212,5,24,148,10,0,0,3,0,0,5,0,1,1
0,0,54,123,229,5,24,161,10,0,0,3,0,0,5,0,1,1
0,0,54,123,243,5,24,173,10,0,0,3,0,0,5,0,1,1
0,0,54,138,267,5,26,192,13,0,0,3,1,1,4,0,0,1
0,0,54,138,291,5,26,212,13,0,1,2,1,0,5,0,0,1
0,0,54,138,330,5,26,248,13,0,3,0,1,1,4,0,0,1
0,0,54,155,355,5,31,269,15,0,1,2,1,0,5,0,0,1
0,0,73,157,388,9,31,294,15,1,1,1,0,0,6,0,0,1
0,0,95,249,388,22,70,294,20,1,1,1,0,0,6,0,0,1
0,0,135,470,388,41,147,294,29,0,1,2,1,0,5,0,0,1
0,0,135,477,419,41,147,317,31,0,1,2,0,1,5,0,0,1
0,0,135,477,446,41,147,340,32,0,1,2,1,0,5,0,0,1
0,0,135,479,494,41,147,382,34,0,2,1,1,0,5,0,0,1
0,0,135,479,523,41,147,405,35,0,1,2,1,1,4,0,0,1
0,0,135,479,549,41,147,427,35,1,1,1,0,1,5,0,0,1
0,0,135,479,590,41,147,458,36,1,1,1,0,0,6,0,0,1
0,0,135,485,619,41,147,479,36,1,0,2,0,1,5,0,0,1
0,0,135,485,644,41,147,498,37,0,0,3,1,1,4,0,0,1
0,0,135,485,668,41,147,513,37,0,0,3,0,2,4,0,0,1
0,0,135,485,686,41,147,528,37,0,0,3,0,2,4,0,0,1
0,0,135,503,717,41,152,555,38,0,1,3,1,0,7,0,0,1
0,0,135,503,756,41,152,582,39,1,0,3,1,1,6,0,1,1
0,0,135,503,777,41,152,600,40,0,0,4,1,1,6,0,1,1
0,0,135,503,790,41,152,611,40,0,0,4,1,2,5,0,0,1
0,0,135,503,812,41,152,629,40,0,1,3,0,1,7,0,1,1
0,0,166,1087,812,49,372,629,58,0,0,4,1,3,4,0,0,1
0,0,166,1092,845,49,372,660,60,1,1,2,0,1,7,0,1,1
0,0,166,1092,878,49,372,688,60,0,1,3,1,0,7,0,1,1
0,0,166,1092,900,49,372,708,60,0,1,3,2,0,6,0,1,1
0,0,166,1092,933,49,372,736,60,2,1,1,0,0,8,0,1,1
0,0,166,1092,974,49,372,773,62,0,2,2,0,0,8,0,1,1
0,0,166,1096,1011,49,373,808,62,1,1,3,0,0,10,0,1,1
0,0,166,1096,1038,49,373,829,62,1,0,4,1,2,7,0,1,1
0,0,166,1096,1072,49,373,852,63,0,1,4,1,1,8,0,1,1
0,0,166,1096,1123,49,373,891,63,2,1,2,0,2,8,0,1,1
0,0,166,1096,1155,49,373,918,64,0,1,4,1,2,7,0,1,1
0,0,166,1096,1183,49,373,936,64,1,0,4,1,3,6,0,1,1
0,0,166,1100,1213,49,373,962,65,1,0,4,0,3,7,0,1,1
0,0,166,1100,1260,49,373,996,65,1,1,3,0,2,8,0,1,1
0,0,166,1100,1295,49,373,1026,65,0,2,3,2,0,8,0,1,1
0,0,166,1100,1330,49,373,1058,65,1,2,2,0,0,10,0,1,1
0,0,166,1100,1364,49,373,1090,65,0,3,2,2,0,8,0,1,1
0,0,166,1100,1400,49,373,1120,67,0,1,4,1,2,7,0,1,1
0,0,3,18,0,0,10,0,1,0,0,1,0,2,1,0,0,1
0,0,3,18,16,0,10,13,1,0,1,0,0,1,2,0,1,1
0,0,3,30,29,0,12,26,1,0,1,1,0,1,3,0,1,1
0,0,5,30,37,1,12,34,2,0,1,1,0,1,3,0,1,1
0,0,6,30,48,1,12,43,2,0,0,2,1,0,3,0,1,1
0,0,7,30,55,2,12,50,2,0,1,1,0,0,4,0,1,1
0,0,10,30,73,4,12,64,3,1,0,1,0,0,4,0,1,1
0,0,11,30,95,4,12,83,4,0,0,3,0,0,5,0,1,1
0,0,11,30,107,4,12,95,4,0,0,3,0,0,5,0,1,1
0,0,14,30,118,7,12,103,5,0,2,1,0,4,1,0,1,1
0,0,15,30,135,8,12,118,6,0,1,2,0,0,6,0,1,1
0,0,19,30,153,11,12,134,6,1,0,2,0,1,5,0,1,1
0,0,30,30,165,21,12,143,7,1,1,1,0,0,6,0,1,1
0,0,30,30,174,21,12,151,7,0,0,3,0,1,5,0,1,1
0,0,30,30,183,21,12,160,7,0,0,3,1,0,5,0,1,1
0,0,42,30,193,31,12,168,7,1,0,2,1,0,5,0,1,1
0,0,43,30,214,31,12,187,8,0,0,3,0,0,6,0,1,1
0,0,43,30,227,31,12,198,9,0,0,3,0,1,5,0,1,1
0,0,43,30,270,31,12,231,11,2,0,2,0,0,8,0,1,1
0,0,45,30,283,32,12,244,11,0,1,3,1,1,6,0,1,1
0,0,53,30,305,37,12,263,11,0,1,3,0,0,8,0,1,1
0,0,53,30,346,37,12,294,12,1,0,3,0,2,6,0,1,1
0,0,56,30,375,39,12,319,12,1,1,2,0,1,7,0,1,1
0,0,56,30,394,39,12,337,12,0,0,4,2,1,5,0,1,1
0,0,57,30,419,40,12,356,12,0,1,3,1,0,7,0,1,1
0,0,58,30,448,40,12,381,12,1,0,3,0,0,8,0,1,1
0,0,59,30,478,41,12,402,13,1,1,2,1,0,7,0,1,1
0,0,60,30,494,42,12,418,13,0,1,3,0,0,8,0,1,1
0,0,60,30,519,42,12,437,14,1,0,4,0,0,10,0,1,1
0,0,60,30,545,42,12,462,14,0,0,5,0,0,10,0,1,1
0,0,60,30,563,42,12,476,16,0,0,5,0,0,10,0,1,1
0,0,71,30,618,48,12,524,18,1,0,4,2,1,7,0,1,1
0,0,73,30,638,50,12,543,19,0,2,3,2,0,8,0,1,1
